SAL_NAME21,street_percentage,rural_percentage,reserve_percentage,residential_percentage,weighted_street_pc,weighted_reserve_pc,weighted_rural_pc,weighted_resi_pc,total_coverage_pc,other_percentage,weighted_other_pc,distance
Harkness,6.024800308900028,15.224839107716395,56.74725040440569,3.3571562239115345,0.0039818267451869555,0.013708188037754953,0.07581021210401714,0.011424731158967937,0.10839514020228043,4.853038121434835,0.003470182156353446,40.78871133461612
Hawthorn,34.258549798491,0,34.72652802832549,31.694297111750615,0.06360167575280065,0.03138953332068401,0,0.17664093154182547,0.30773145965705856,21.664332056018367,0.03609931904174843,6.178840687378742
Hawthorn East,39.48759777539559,0,31.79117609795034,30.35457835321459,0.07829425547972642,0.015898223842872986,0,0.18088518068828827,0.2975594242885267,14.429077530042742,0.022481764277639024,7.87612260845612
Heatherton,17.247340166608044,8.731643716382404,13.033847486327529,17.69555515836271,0.012681200518116265,0.004912240353638589,0.03949121231740322,0.010740232735070873,0.13532156459751296,17.96009815797361,0.06749667867328402,19.466451516344762
Heathmont,39.9695736189124,0,52.4875998208493,41.162582640242476,0.07430766328996917,0.02351309172781477,0,0.27815569238193416,0.4221713051622191,49.38355698428072,0.04619485776250104,24.801988441490973
Heidelberg,20.166061425052117,0,44.31474837719972,22.360781821065054,0.038768165769067935,0.08216892249700493,0,0.10126755439129546,0.2520995798590668,17.64191647286246,0.02989493720169845,11.635698341271748
Heidelberg Heights,14.770550491233902,0,15.46199831621953,16.31262585335804,0.03376943448964861,0.005117530209429066,0,0.11571400573537959,0.15742266874166316,9.755786441114452,0.00282169830720591,11.195324675897503
Heidelberg West,13.541161594413055,0,39.97228706405629,15.882194658950514,0.026330047846928665,0.05379906709163024,0,0.054046448353869944,0.15319531909017867,5.751906701901679,0.019019755797749824,11.024069222549443
Highett,25.48765688089791,0,26.72755360856321,27.485750812803378,0.04867125629640278,0.01965836630994627,0,0.16519045868784654,0.24683902143876602,9.903664521294468,0.013318940144570409,16.58139082695869
Hillside (Melton - Vic.),11.873006413991714,0.5050212991479546,5.425959427089999,9.992826974354289,0.022010314960345383,3.7893697991416025e-4,4.092187683145109e-4,0.06831887264329752,0.09763965933002965,15.194344237857221,0.006522315978158064,23.857960618046636
Hopetoun Park,4.495376155858046,0,0,0,0.008364745544247086,0,0,0,0.08405682460823556,9.299631541834325,0.07569207906398848,42.76353199589422
Hoppers Crossing,10.880638769542792,0,14.757712064710407,17.42271983197034,0.021954859118140244,0.004873542814818969,0,0.10091984343160834,0.14014828844549532,6.668324677153768,0.01240004308092776,24.3048752081333
Hughesdale,24.656552848352394,0,26.300363085105328,21.024122296633152,0.05620191485238149,0.004214329325110601,0,0.14918571084396517,0.21464621521810823,10.86094092724104,0.005044260196650933,14.053673031513835
Humevale,65.2857908044821,56.56634598433693,99.62947056529615,0,0.026628391924819247,3.991702835592973e-4,0.32372304838153315,0,0.7302408826361829,98.18056749375343,0.3794902720462711,39.82877666015191
Huntingdale,15.924844494807763,0,0,17.0069521700604,0.040839599078330534,0,0,0.07986355171169586,0.13123160890618224,3.8431434405821365,0.010528458116155846,16.469948265090668
Ivanhoe,22.048962689898758,0,53.9097612947883,24.98785228277755,0.03701833081209735,0.1032098453902278,0,0.1330173497584226,0.2979647091812878,22.81816077521218,0.02471918322054005,8.761329343473856
Ivanhoe East,32.03217067598192,0,55.57231514048551,31.128730739088862,0.05161265508614553,0.12805141315841326,0,0.1699385276604485,0.37594857228090606,42.13495079505738,0.026345976375898823,9.812793644851359
Jacana,7.012344273260602,0,3.668096254405557,13.598390919496195,0.013793992712139064,0.008826892949829412,0,0.06577866325214653,0.08988011054504781,1.8758772894190867,0.0014805616309327997,14.75964479310932
Kalkallo,6.590207757472759,14.8878273548387,1.0374908575122896,6.172269739067897,0.0027985515894293003,3.9827423162123955e-4,0.0065703228400320595,0.053345476490425744,0.06347332120918904,3.359121809664906,3.606960576806929e-4,31.99596945864083
Kealba,9.022873214836652,0,10.401995623422772,5.717278204450742,0.01799810808606072,0.025457242703494577,0,0.017623351977899236,0.06921939424775032,3.288550165309441,0.008140691480295786,14.549230104539513
Keilor,14.70741911192264,10.590253902202916,31.16933661554554,12.00326847322531,0.0314738183045511,0.03305735816327802,0.029422176520287384,0.03650753757592439,0.15226124704277194,22.251321790429817,0.02180035647873105,16.712866822881235
Keilor Downs,8.886939732169472,0,14.833401239449614,8.382267945799143,0.018000025503340837,0.02839242726051443,0,0.04534233972935628,0.0959862185649315,6.529113005281266,0.004251426071719951,17.392693020354308
Keilor East,9.759461235508095,0,23.247627100362926,16.901024975825983,0.018094469601561174,0.08378855686457164,0,0.059866918569407145,0.17054906724992855,8.802881289081844,0.008799122214388578,12.46103445016067
Keilor Lodge,11.63345805639783,0,7.20795718477065,11.645024255893135,0.03486276281144906,0.002878278915227334,0,0.0747131530073061,0.11515969305456451,14.388884718783146,0.0027054983205820108,19.293290649017553
Keilor North,4.225210539034966,4.226055347063574,10.674860086162855,0,0.0032507810993922565,0.05227576393193306,0.016885158021955456,0,0.07940254814794968,20.6803820997401,0.0069908450946689045,21.00467666552697
Keilor Park,9.683751566536392,10.840628706967898,20.823852811296785,17.482269591428306,0.019017589723438637,0.04730920508136168,0.012797576237423685,0.03805550762459141,0.12454993934460372,3.0620135642425157,0.007370060677788304,14.392161961964394
Kensington,22.329343214260973,0,32.68510120334398,22.074092326704996,0.060901194219358384,0.04061504641347744,0,0.08155400803482389,0.20388480472145848,8.91255613695601,0.02081455605379876,3.868159173312059
Kew,38.22991063591932,0,71.0530434056044,28.597052996255094,0.08492932555157931,0.08886198448042847,0,0.15855991836397865,0.36790009313458383,36.15660767512585,0.0355488647385974,6.283159550551694
Kew East,27.010831356836206,0,64.551794715438,26.630989381207115,0.04951976907300876,0.08235436406350584,0,0.09894170793157155,0.3424445836711384,35.152039929412545,0.11162874260305224,8.282139672528222
Keysborough,19.03558956500915,15.026835385628386,31.84962769911104,29.94212261508463,0.02572179947459,0.015327431876110022,0.03832602754340102,0.08945246035557128,0.1952616746280246,10.052880854440955,0.026433955378352303,27.80091297849917
Kilsyth,32.805415964242876,20.927240895965692,52.80791723916989,42.52647981892542,0.06209268715542851,0.00854315903801156,4.2815589065817616e-7,0.296593295577211,0.38197037598619477,15.179119034346536,0.014740806059653088,31.28647106546592
Kilsyth South,37.23844047108755,40.56296228973366,83.47533882769244,34.94762744471348,0.03933375388845358,0.02863321732840458,0.18198946850166872,0.09530324689730871,0.3870524941325485,30.12972090621079,0.041792807516712875,30.687463298427158
Kings Park,5.851381736413906,0,11.769884194526927,4.459721756894075,0.012588102970428406,0.005145683362874872,0,0.02980037281757864,0.0560507240626334,11.676281213913803,0.008516564911751488,19.061689899017214
Kingsbury,20.223809820822698,0,21.829010759020314,16.367132747015976,0.03703617697009228,0.05608433039562851,0,0.08180304852606674,0.18639118762861367,19.067574611726208,0.011467631736826163,12.545517211925864
